census,rep,native.species,native.density,brome.density,water.treatment,species,plant.density,seed.density,mixture
1,1,Plantago insularis,10,10,80,plantago,7,20,mixture
1,2,Plantago insularis,10,10,80,plantago,9,20,mixture
1,3,Plantago insularis,10,10,80,plantago,10,20,mixture
1,4,Plantago insularis,10,10,80,plantago,9,20,mixture
1,5,Plantago insularis,10,10,80,plantago,8,20,mixture
1,6,Plantago insularis,10,10,80,plantago,7,20,mixture
1,7,Plantago insularis,10,10,80,plantago,10,20,mixture
1,8,Plantago insularis,10,10,80,plantago,9,20,mixture
1,9,Plantago insularis,10,10,80,plantago,10,20,mixture
1,10,Plantago insularis,10,10,80,plantago,6,20,mixture
1,1,Plantago insularis,10,10,150,plantago,10,20,mixture
1,2,Plantago insularis,10,10,150,plantago,7,20,mixture
1,3,Plantago insularis,10,10,150,plantago,10,20,mixture
1,4,Plantago insularis,10,10,150,plantago,7,20,mixture
1,5,Plantago insularis,10,10,150,plantago,8,20,mixture
1,6,Plantago insularis,10,10,150,plantago,8,20,mixture
1,7,Plantago insularis,10,10,150,plantago,8,20,mixture
1,8,Plantago insularis,10,10,150,plantago,8,20,mixture
1,9,Plantago insularis,10,10,150,plantago,9,20,mixture
1,10,Plantago insularis,10,10,150,plantago,9,20,mixture
1,1,Plantago insularis,10,10,200,plantago,8,20,mixture
1,2,Plantago insularis,10,10,200,plantago,8,20,mixture
1,3,Plantago insularis,10,10,200,plantago,10,20,mixture
1,4,Plantago insularis,10,10,200,plantago,8,20,mixture
1,5,Plantago insularis,10,10,200,plantago,8,20,mixture
1,6,Plantago insularis,10,10,200,plantago,9,20,mixture
1,7,Plantago insularis,10,10,200,plantago,10,20,mixture
1,8,Plantago insularis,10,10,200,plantago,8,20,mixture
1,9,Plantago insularis,10,10,200,plantago,10,20,mixture
1,10,Plantago insularis,10,10,200,plantago,10,20,mixture
1,1,Plantago insularis,10,10,250,plantago,9,20,mixture
1,2,Plantago insularis,10,10,250,plantago,10,20,mixture
1,3,Plantago insularis,10,10,250,plantago,10,20,mixture
1,4,Plantago insularis,10,10,250,plantago,9,20,mixture
1,5,Plantago insularis,10,10,250,plantago,9,20,mixture
1,6,Plantago insularis,10,10,250,plantago,10,20,mixture
